,v_Acc,v_Vel,Global_X,Global_Y
0,0.0,24.99,6451746.315,1872769.08
1,3.7,1.16,2230834.063,1377495.14
2,-6.97,48.61,6451455.481,1872959.807
3,1.38,51.61,6452261.251,1873539.646
4,-9.22,49.42,6452354.655,1872189.752
5,0.0,30.0,6452352.575,1872221.684
6,-3.2,20.07,6451310.023,1873160.907
7,-1.7,35.08,6451641.424,1872857.994
8,0.05,39.97,6451836.559,1872641.728
9,-0.14,35.02,6452033.406,1872485.295
10,3.48,39.51,6451755.77,1872712.895
11,1.85,46.82,6452064.517,1872440.575
12,-0.3,33.22,6451698.826,1872808.99
13,0.47,45.4,6451667.94,1872777.744
14,0.08,1.34,2230833.91,1377495.121
15,3.59,51.78,6452588.771,1872029.608
16,-2.87,42.12,6451879.879,1872603.874
17,5.86,29.49,6451806.277,1872714.962
18,-0.46,60.77,6452462.657,1872141.036
19,-6.25,30.53,6452341.269,1872231.497
20,7.44,51.52,6452304.95,1873639.239
21,0.0,24.99,6451753.961,1872762.635
22,-5.48,41.01,6451964.923,1872529.537
23,9.03,28.77,6451804.091,1872716.95
24,-2.96,33.99,6452631.979,1871980.08
25,-1.58,40.25,6451820.448,1872652.882
26,0.0,44.75,6451589.384,1872845.725
27,6.55,32.67,6452142.289,1873268.632
28,10.19,35.03,6452154.281,1873299.447
29,2.54,39.79,6451758.767,1872710.246
30,-2.76,22.94,2230789.027,1377503.44
31,-11.2,47.07,6451653.628,1872801.531
32,-3.81,27.6,6451352.509,1873119.756
33,0.0,0.0,2230835.939,1377494.937
34,2.19,44.5,6451683.848,1872776.321
35,0.46,34.72,6452043.916,1872476.081
36,-1.01,45.73,6451989.918,1872553.611
37,2.84,30.19,6451926.325,1872574.931
38,-6.75,45.97,6452671.254,1871961.234
39,7.84,47.03,6452231.698,1872296.01
40,1.95,5.48,6451166.67,1873313.132
41,0.0,7.17,6451135.129,1873347.7
42,10.02,23.49,2230758.97,1377504.856
43,0.0,0.0,2230834.207,1377495.159
44,0.0,0.0,2230835.939,1377494.937
45,-6.28,34.34,6452629.241,1871982.26
46,0.0,15.0,6451245.419,1873229.347
47,-2.34,46.76,6452100.923,1872410.807
48,11.2,35.79,6452491.052,1872101.472
49,2.03,60.22,6452498.661,1872109.037
50,-6.51,33.41,6451680.977,1872823.695
51,0.0,35.0,6451652.003,1872848.824
52,1.55,38.88,6452450.958,1874261.253
53,-1.9,20.81,2230804.09,1377501.169
54,4.37,33.38,6451835.153,1872690.465
55,6.91,27.95,6452138.509,1873257.121
56,0.0,6.75,6451152.134,1873328.968
57,-6.07,40.97,6451797.905,1872669.857
58,0.0,7.17,6451139.464,1873342.925
59,0.75,51.52,6452290.624,1873607.292
60,-0.57,22.1,6452131.791,1873224.895
61,2.98,30.46,6451986.128,1872527.974
62,0.48,40.36,6451813.988,1872657.712
63,0.0,0.0,2230834.207,1377495.159
64,-4.44,11.87,6452459.339,1874083.745
65,3.1,51.53,6452285.902,1873596.961
66,-2.4,34.89,6451859.787,1872622.667
67,0.0,14.67,6451203.435,1873271.719
68,8.29,51.72,6452019.049,1872528.174
69,9.19,15.21,6451261.408,1873211.695
70,-1.06,62.71,6452387.775,1872206.026
71,0.0,51.47,6452375.032,1873791.739
72,-6.65,18.8,6451271.952,1873200.525
73,4.6,54.22,6452527.963,1872037.183
74,-0.46,44.7,6451477.095,1872943.567
75,13.71,51.33,6452196.005,1873389.862
76,2.59,3.54,6452460.717,1874089.932
77,0.29,44.72,6451565.708,1872866.24
78,6.59,31.5,6452605.503,1872001.174
79,-4.53,42.5,6451613.677,1872831.842
80,-7.87,43.97,6451918.213,1872618.168
81,0.0,0.0,2230835.939,1377494.937
82,5.24,24.68,6452383.917,1872194.482
83,2.05,47.72,6452178.121,1872343.381
84,0.21,6.79,6451163.023,1873316.973
85,-9.11,34.59,6452261.583,1872300.739
86,0.0,0.0,2230835.939,1377494.937
87,-6.12,42.26,6451791.2,1872674.827
88,4.33,40.38,6451857.621,1872623.323
89,0.0,0.0,2230834.207,1377495.159
90,0.0,27.83,6451336.554,1873135.289
91,4.39,22.46,2230770.419,1377504.444
92,14.36,28.84,6452460.469,1874133.429
93,0.13,4.99,6452135.38,1873186.431
94,-9.48,41.63,6451532.247,1872895.4
95,0.18,45.6,6451636.918,1872804.525
96,-0.27,60.02,6452191.645,1872377.589
97,-1.71,31.53,6452572.212,1872029.173
98,3.11,42.03,6451977.257,1872518.781
99,-8.33,1.61,2230833.919,1377494.61
100,2.7,4.5,2230834.641,1377494.771
101,0.1,30.75,6452292.535,1872273.794
102,-4.43,15.82,6452457.333,1874060.935
103,-11.2,53.15,6452549.238,1872019.822
104,2.93,33.38,6452648.012,1871967.404
105,-14.7,51.51,6452391.577,1873821.469
106,-3.5,61.24,6452453.48,1872149.0
107,-7.57,43.54,6451487.769,1872935.437
108,1.07,47.24,6452140.403,1872378.925
109,-3.33,0.76,2230834.876,1377494.871
110,0.2,45.0,6452027.308,1872473.022
111,1.7,22.15,6452132.32,1873229.283
112,-0.05,32.53,6451892.963,1872597.9
113,0.0,25.0,6452385.805,1872192.844
114,11.2,39.38,6451542.979,1872888.738
115,0.0,35.0,6451659.937,1872841.947
116,-3.73,40.43,6451728.075,1872737.355
117,7.34,13.34,2230823.06,1377497.277
118,2.49,41.44,6451535.441,1872892.682
119,4.58,24.62,6451775.206,1872742.429
120,-4.45,38.46,6451536.956,1872893.959
121,0.15,44.7,6451562.334,1872869.173
122,-2.33,46.25,6452108.149,1872404.942
123,0.0,0.0,2230835.939,1377494.937
124,1.41,33.89,6452634.718,1871977.901
125,0.0,27.82,6451366.469,1873106.165
126,0.0,20.33,6451302.978,1873168.273
127,4.32,32.61,6452150.903,1873290.209
128,0.0,0.0,2230835.939,1377494.937
129,-4.44,3.64,6452460.307,1874088.298
130,0.0,25.0,6451784.571,1872734.15
131,-11.1,51.35,6452198.909,1873395.361
132,0.0,0.0,2230834.207,1377495.159
133,0.0,14.99,6451240.378,1873234.9
134,6.94,35.77,6452309.929,1872258.719
135,-2.32,39.8,6451829.917,1872645.463
136,0.0,0.0,2230835.939,1377494.937
137,2.01,42.39,6451949.257,1872589.271
138,10.91,7.78,6452132.367,1873188.845
139,-15.84,50.48,6452417.692,1873875.805
140,0.62,54.94,6452540.743,1872026.813
141,0.08,34.97,6451644.069,1872855.702
142,11.2,43.84,6451993.136,1872504.965
143,8.72,5.59,2230834.459,1377495.344
144,-4.28,47.54,6452634.598,1871990.839
145,3.02,41.96,6451952.259,1872540.625
146,-5.23,31.81,6451903.918,1872590.699
147,11.2,43.86,6451752.869,1872703.805
148,1.42,44.1,6451673.707,1872784.864
149,-0.24,39.98,6451848.607,1872631.2
150,-1.94,27.41,6452137.024,1873251.87
151,-3.88,39.49,6451833.134,1872643.083
152,-0.09,38.38,6452157.95,1872378.855
153,-1.36,47.1,6452147.292,1872372.549
154,5.32,51.53,6452295.218,1873617.839
155,-0.24,59.98,6452205.185,1872365.728
156,0.0,25.0,6451780.825,1872737.461
157,-0.38,35.61,6452535.881,1872061.169
158,0.0,24.99,6451738.668,1872775.525
159,0.0,40.0,6451607.044,1872887.797
160,0.0,10.17,6451173.324,1873304.914
161,2.66,42.12,6451882.982,1872601.162
162,-1.9,45.84,6451986.435,1872556.603
163,-0.08,30.01,6451810.795,1872710.969
164,-10.59,34.73,6452331.451,1872240.018
165,0.0,44.75,6451606.291,1872831.069
166,2.11,53.26,6452074.165,1872480.5
167,0.09,43.05,6451780.751,1872682.474
168,0.0,64.99,6452353.527,1872235.751
169,1.89,33.93,6452637.479,1871975.703
170,-12.81,51.31,6452237.947,1873483.611
171,-0.18,46.95,6452071.854,1872434.668
172,4.48,39.6,6451512.754,1872914.938
173,-6.71,49.35,6452421.914,1873885.114
174,-4.58,48.04,6451459.29,1872956.858
175,0.0,55.0,6452111.159,1872448.094
176,11.2,29.75,6451376.52,1873096.482
177,0.0,7.17,6451138.5,1873343.986
178,-5.54,44.14,6452037.439,1872464.126
179,0.88,14.71,6451214.551,1873260.02
180,0.5,47.03,6452164.299,1872356.291
181,-6.4,14.45,6451232.449,1873243.511
182,-5.25,46.83,6452224.531,1872302.252
183,-7.36,57.9,6452534.369,1872077.022
184,-0.11,0.5,2230834.29,1377495.076
185,6.83,15.38,2230818.855,1377498.217
186,4.53,31.81,6452520.636,1872075.143
187,2.47,45.17,6451626.595,1872813.47
188,8.46,18.29,6452457.024,1874053.898
189,1.71,14.93,6451236.345,1873239.342
190,-0.84,1.71,2230833.235,1377495.035
191,0.0,32.53,6452713.673,1871929.268
192,2.06,40.1,6451895.638,1872637.911
193,-5.22,60.46,6452476.417,1872129.013
194,-7.31,37.43,6452502.153,1872091.101
195,-1.09,16.79,6451223.907,1873251.215
196,-2.62,41.97,6451983.659,1872513.187
197,0.0,15.0,6451255.502,1873218.24
198,0.0,34.67,6451411.515,1873063.896
199,1.06,32.85,6451946.718,1872559.493
200,-3.89,36.25,6452022.845,1872494.723
201,3.17,8.52,6452130.75,1873194.585
202,-4.35,35.24,6451857.036,1872624.834
203,9.39,23.39,6452460.599,1874111.23
204,0.26,65.01,6452363.345,1872227.23
205,0.96,29.8,6451461.678,1873017.837
206,-0.42,40.49,6452194.916,1872350.343
207,3.6,0.38,2230834.216,1377495.16
208,-4.97,2.73,2230835.004,1377495.283
209,5.48,55.8,6452160.783,1872404.624
210,-6.13,26.29,6452455.474,1874027.363
211,-0.36,5.52,6452460.803,1874093.366
